#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,44.243354,3.799713,0.000000,7.975224,5.458402,0.053963,68.396618
0.000000,0.000000,40.080991,3.155878,0.000000,11.595437,13.424812,0.567464,55.885049
0.000000,0.000000,30.082132,3.139675,0.000000,9.330746,9.171412,0.061297,50.214313
0.000000,0.000000,32.642657,4.424215,0.000000,13.637739,12.961015,0.056426,63.764440
0.000000,0.000000,41.268160,3.822917,0.000000,10.074878,9.170171,0.057112,65.666185
0.000000,0.000000,39.800453,3.819102,0.000000,7.376556,9.399580,0.096815,71.765478
0.000000,0.000000,48.427197,4.056881,0.000000,5.390550,4.716994,0.356798,73.561001
0.000000,0.000000,46.525230,4.325826,0.000000,6.880999,5.503273,0.049426,69.189287
0.000000,0.000000,43.189869,3.392119,0.000000,8.044595,8.704633,0.058464,59.204465
0.000000,0.000000,43.891556,4.655197,0.000000,6.291220,5.307681,0.378908,62.466325
0.000000,0.000000,37.734021,3.332564,0.000000,4.924494,5.202772,0.041444,59.829097
0.000000,0.000000,40.184620,3.324990,0.000000,8.703189,8.655041,0.051666,58.261110
0.000000,0.000000,31.727933,3.028452,0.000000,6.161516,7.352315,0.108593,46.706323
0.000000,0.000000,28.111719,2.510765,0.000000,8.172354,10.134785,0.068834,49.297607
0.000000,0.000000,26.695031,2.405617,0.000000,7.775020,9.430264,0.770835,43.919519
0.000000,0.000000,34.185290,3.296898,0.000000,8.210854,11.081824,0.052538,57.683127
0.000000,0.000000,63.767199,3.254063,0.000000,12.019419,13.201997,0.938299,85.607810
0.000000,0.000000,39.828453,3.949733,0.000000,12.570791,13.916832,0.648391,65.626648
0.000000,0.000000,49.203476,3.736917,0.000000,12.819810,12.002716,0.523223,79.604720
0.000000,0.000000,39.277692,3.537695,0.000000,10.604879,11.349436,0.064148,72.539999
0.000000,0.000000,42.980164,3.590861,0.000000,14.223703,15.123519,0.068019,73.642909
0.000000,0.000000,44.956855,3.554139,0.000000,11.207473,17.295526,0.079481,72.562555
0.000000,0.000000,39.426896,3.124897,0.000000,16.035670,14.515444,0.059426,73.412983
0.000000,0.000000,60.337726,3.375916,0.000000,8.956430,17.577711,0.475686,93.881849
0.000000,0.000000,39.334396,5.109865,0.000000,8.982301,12.734218,0.071667,77.948493
0.000000,0.000000,42.496533,3.582620,0.000000,11.663141,10.979139,0.047204,74.133854
0.000000,0.000000,40.026213,3.797120,0.000000,10.269508,10.655675,0.061241,67.696542
0.000000,0.000000,41.360938,3.485508,0.000000,11.973901,15.550151,0.598686,69.842566
0.000000,0.000000,39.301211,2.903914,0.000000,15.697003,14.000851,0.054055,64.832164
0.000000,0.000000,34.086679,3.553991,0.000000,10.015989,6.300276,0.049630,66.659206
0.000000,0.000000,41.966792,4.048899,0.000000,4.354437,4.961105,0.042351,78.242476
0.000000,0.000000,49.474255,3.721603,0.000000,8.146835,6.714295,0.054241,71.137902
0.000000,0.000000,27.577032,2.007968,0.000000,5.484885,7.010388,0.026296,40.379231
0.000000,0.000000,29.517445,2.326321,0.000000,4.251289,4.797586,0.022575,48.129696
0.000000,0.000000,49.535681,5.804422,0.000000,3.994381,4.699808,0.164667,69.445898
0.000000,0.000000,34.865070,2.207210,0.000000,4.717698,8.815449,0.019555,47.758084
0.000000,0.000000,35.250256,2.161394,0.000000,2.563710,4.134141,0.063593,47.525046
0.000000,0.000000,45.328188,2.878896,0.000000,2.681229,3.129230,0.072334,65.476517
0.000000,0.000000,33.275380,2.083543,0.000000,3.200378,8.517799,0.379834,43.394684
0.000000,0.000000,29.226259,2.004764,0.000000,2.508543,4.383548,0.065463,38.328041
0.000000,0.000000,46.478525,2.940544,0.000000,9.209616,9.034615,0.041667,64.402423
0.000000,0.000000,39.090117,2.688266,0.000000,5.541347,10.292563,0.049667,50.598517
0.000000,0.000000,37.118779,3.054859,0.000000,3.373286,6.071756,0.028686,61.210210
0.000000,0.000000,41.181382,2.899137,0.000000,4.460918,5.901182,0.037426,61.751378
0.000000,0.000000,37.928096,2.095505,0.000000,3.929695,5.794756,0.043704,52.751967
0.000000,0.000000,40.445769,3.026989,0.000000,3.029174,4.993994,0.027463,55.344585
0.000000,0.000000,39.810879,2.980415,0.000000,3.164656,4.617641,0.029537,54.186952
